channel_transfer,person_id,onboard_datetime
Direct - Paid Search (brand) - Organic Search,56c3332e5301d026a7a083b3,2016-02-19 16:10:34.211
Direct - Paid Search (brand) - Organic Search,56338e7369702d0523260000,2016-03-15 16:38:55.527
Referral,56e59f608d26037f1d6bfc9f,2016-03-22 15:27:25.524
Facebook Ads,56ca616e5301d00eef38f957,2016-02-29 15:44:02.51
Direct - Paid Search (brand) - Organic Search,56d481e6ea9f773a52208c29,2016-02-29 20:07:34.94
Phone,56e72f21a6a4f2624bcbf452,2016-03-16 21:18:10.936
Facebook Ads,56d48f59ea9f777abd8e7516,2016-02-29 21:04:25.287
Direct - Paid Search (brand) - Organic Search,56aadeb669702d55dc740500,2016-02-01 18:05:19.143
Phone,56cb31aa6c021e4d7ec5cc09,2016-02-25 17:51:56.233
Direct - Paid Search (brand) - Organic Search,55a93f4d69702d7eac060000,2015-07-26 18:19:38.973
undefined,56a9301469702d70e46d0700,2016-02-02 15:06:18.355
Direct - Paid Search (brand) - Organic Search,56d4bd4207cabc315a8382a6,2016-02-29 22:32:56.452
Direct - Paid Search (brand) - Organic Search,564374ed69702d3d62d90000,2015-11-16 18:29:25.747
Phone,569fae2369702d43291a0700,2016-01-29 14:26:29.352
Phone,56e837bbea9f77206a1b2c3b,2016-03-17 12:25:00.701
Direct - Paid Search (brand) - Organic Search,56b365ec6c021e32bc7c3632,2016-02-10 16:15:34.874
Direct - Paid Search (brand) - Organic Search,569e8a2b69702d1d86440d00,2016-01-27 21:20:43.084
Phone,57277b25ea9f77529daf686b,2016-05-18 17:47:30.626
Facebook Ads,56ba9eba6c021e13b1912ecf,2016-02-11 18:57:40.137
Facebook Ads,56eadc2d1450d3352a8de502,2016-03-21 18:11:26.75
Phone,56b27cfe5301d01c9f41336f,2016-02-05 17:08:38.836
Direct - Paid Search (brand) - Organic Search,56bbe0656c021e6cdbdc4b51,2016-02-24 22:39:24.369
Direct - Paid Search (brand) - Organic Search,569ec42e69702d369c730400,2016-01-22 14:26:23.164
Direct - Paid Search (brand) - Organic Search,56bed3ad6c021e2f2372a44d,2016-02-22 16:01:06.633
Facebook Ads,57259d8d07cabc5714eeaad7,2016-05-11 16:21:05.566
Phone,57081a6407cabc2125a1ec55,2016-04-18 17:42:40.436
Direct - Paid Search (brand) - Organic Search,56a1202469702d4d9fc50200,2016-01-25 19:45:46.611
Facebook Ads,56a30f5869702d052c670600,2016-01-28 21:44:06.564
Facebook Ads,56b0617a6c021e5a88962c1c,2016-02-08 19:44:57.787
Direct - Paid Search (brand) - Organic Search,56ba581a5301d0699187bea4,2016-02-22 17:08:33.291
Phone,570e6af31450d33535d61609,2016-04-20 18:42:11.2
Phone,56cde7e607cabc0b1d4e120c,2016-04-30 12:55:08.477
Facebook Ads,56a166c169702d6391a31200,2016-01-28 21:49:21.818
Phone,569b070069702d4fd97b0100,2016-04-15 18:46:56.932
undefined,56c3cb836c021e39628d0df8,2016-02-18 18:41:51.172
Facebook Ads,56a9447c69702d6a71e00b00,2016-02-02 16:40:09.729
Referral,56b4b3085301d03001b6a7dc,2016-02-10 21:09:31.987
Direct - Paid Search (brand) - Organic Search,56ad32ae6c021e1afb3d2e4f,2016-02-08 21:22:43.228
Phone,56be0c995301d03908173b4c,2016-02-19 12:43:53.046
Facebook Ads,56a5b28269702d5e84bc0900,2016-02-01 15:00:39.949
Direct - Paid Search (brand) - Organic Search,56d47b488d2603731dae4483,2016-03-02 21:37:29.641
Direct - Paid Search (brand) - Organic Search,569ad3b769702d18bc280100,2016-01-21 20:26:08.458
Phone,5723c069a6a4f27010872072,2016-05-03 17:18:42.217
Direct - Paid Search (brand) - Organic Search,56d4952aea9f777fa08e7872,2016-02-29 19:48:16.132
Facebook Ads,56a143cb69702d413f0e1500,2016-01-28 22:30:35.825
Affiliate,56be51daf46b3e1fae34026d,2016-02-16 21:43:38.814
Facebook Ads,56b792176c021e09d03eeb8a,2016-02-11 22:52:27.566
Facebook Ads,56ca114e5301d05d9e38fa0a,2016-02-26 21:51:43.771
Referral,56d08ae7a6a4f275faf4e4b1,2016-02-28 20:05:14.896
Direct - Paid Search (brand) - Organic Search,56caf58f6c021e24e26c5314,2016-02-29 14:17:14.511
undefined,56b3c7e86c021e15057c3825,2016-02-17 12:42:03.599
undefined,56aac18c69702d55dccf0400,2016-02-01 15:39:14.607
Facebook Ads,56cbd15e5301d03dedb15c06,2016-02-29 19:09:58.023
Direct - Paid Search (brand) - Organic Search,56a65a4d69702d69cb8b2d00,2016-02-02 17:41:27.144
Phone,56df50b51450d3672f0d70a7,2016-03-17 13:26:50.272
Direct - Paid Search (brand) - Organic Search,56ba19fcf46b3e509e63d1a4,2016-02-11 20:20:15.09
Facebook Ads,56b25024f46b3e0dfdbe1d4b,2016-02-05 18:26:58.062
Facebook Ads,569baafe69702d4fd9610f00,2016-01-19 21:38:18.976
Direct - Paid Search (brand) - Organic Search,56cc88b68d26035cea73dcda,2016-02-29 19:17:06.2
Direct - Paid Search (brand) - Organic Search,56a3f26a69702d04eef32100,2016-02-01 15:49:57.823
Phone,56be27625301d03e28173cf3,2016-02-17 20:17:43.944
